,MunicipalityOrigin,total
0,101,726172
1,147,101776
2,151,54937
3,153,41159
4,155,15510
5,157,71632
6,159,72001
7,161,25981
8,163,30573
9,165,26324
10,167,54732
11,169,65513
12,173,62190
13,175,49416
14,183,24577
15,185,43134
16,187,17263
17,190,45022
18,201,27302
19,210,43314
20,217,65857
21,219,62645
22,223,23502
23,230,58938
24,240,50253
25,250,48276
26,253,54301
27,259,67799
28,260,31731
29,265,99145
30,269,26922
31,270,42125
32,306,31629
33,316,78863
34,320,38758
35,326,46789
36,329,38347
37,330,81021
38,336,25342
39,340,31754
40,350,31713
41,360,34564
42,370,87173
43,376,57349
44,390,43480
45,400,38829
46,410,45038
47,411,0
48,420,40575
49,430,53975
50,440,24808
51,450,33059
52,461,220476
53,479,64847
54,480,30421
55,482,11940
56,492,5840
57,510,52444
58,530,27943
59,540,71321
60,550,33905
61,561,113968
62,563,3253
63,573,48933
64,575,42755
65,580,57208
66,607,54262
67,615,124438
68,621,98524
69,630,141904
70,657,91707
71,661,58844
72,665,17027
73,671,18902
74,706,50641
75,707,36349
76,710,55392
77,727,27862
78,730,113368
79,740,130388
80,741,4244
81,746,79952
82,751,424180
83,756,45451
84,760,52913
85,766,53014
86,773,18408
87,779,39980
88,787,41923
89,791,96289
90,810,37110
91,813,53670
92,820,33932
93,825,1699
94,840,34180
95,846,41134
96,849,37209
97,851,250866
98,860,60678
